Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
Charter,400129,YCCS-Charles Hamilton Houston Alternative HS,0,0,0,0,0,0,0,0,0,0,0,0,91,34,19,144
Charter,400150,YCCS-Chatham Academy HS,0,0,0,0,0,0,0,0,0,0,0,0,109,53,19,181
Charter,400130,YCCS-Community Youth Development Institute HS,0,0,0,0,0,0,0,0,0,0,0,0,201,34,16,251
Charter,400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,0,0,0,0,0,0,0,0,0,0,0,0,102,63,5,170
Charter,400133,YCCS-Innovations of Arts Integration HS,0,0,0,0,0,0,0,0,0,0,0,0,262,40,1,303
Charter,400134,YCCS-Jane Addams Alternative HS,0,0,0,0,0,0,0,0,0,0,0,0,187,32,0,219
Charter,400135,YCCS-Latino Youth Alternative HS,0,0,0,0,0,0,0,0,0,0,0,0,87,71,41,199
Charter,400136,YCCS-Olive Harvey Middle College HS,0,0,0,0,0,0,0,0,0,0,0,0,166,20,0,186
Charter,400139,YCCS-Sullivan House Alternative HS,0,0,0,0,0,0,0,0,0,0,0,0,309,4,1,314
Charter,400141,YCCS-Truman Middle College HS,0,0,0,0,0,0,0,0,0,0,0,0,156,46,10,212
Charter,400142,YCCS-Virtual HS,0,0,0,0,0,0,0,0,0,0,0,0,1,163,8,172
Charter,400143,YCCS-West Town Academy Alternative HS,0,0,0,0,0,0,0,0,0,0,0,0,88,60,7,155
Charter,400144,YCCS-Westside Holistic Leadership Academy HS,0,0,0,0,0,0,0,0,0,0,0,0,121,59,5,185
Charter,400145,YCCS-Youth Connection Leadership Academy HS,0,0,0,0,0,0,0,0,0,0,0,0,162,76,12,250
Charter,400087,Young Women's Leadership Charter High School,0,0,0,0,0,0,0,0,0,43,46,80,66,51,45,331
Charter & Contract Totals,,,67,265,"3,388","3,440","3,294","3,246","3,006","3,122","3,552","3,408","3,282","7,503","8,756","6,025","4,815","57,169"
,,,,,,,,,,,,,,,,,,
District Totals,,,"8,591","15,080","30,166","31,544","29,997","30,710","29,041","28,797","28,406","28,007","28,177","30,069","30,963","26,500","24,497","400,545"
