Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
Charter,400039,Erie Elementary Charter School,,,47,50,48,48,53,40,47,44,46,,,,, 423 
Charter,400171,Foundations College Preparatory Charter School,,,,,,,,,42,66,55,,,,, 163 
Charter,400040,Frazier Preparatory Academy Charter School,,19,32,30,49,50,50,49,52,49,48,,,,, 428 
Charter,400041,Galapagos Charter School,,,42,34,36,40,37,38,38,37,31,,,,, 333 
Charter,400168,Great Lakes Academy Charter School,,,68,85,45,,,,,,,,,,, 198 
Charter,400167,Horizon Science Academy Southwest Chicago Charter,,,75,54,54,54,54,54,54,53,53,54,,,, 559 
Charter,400104,Instituto Health Sciences Career Academy,,,,,,,,,,,,191,175,235,168, 769 
Charter,400162,Intrinsic Charter School,,,,,,,,,,169,152,203,169,134,, 827 
Charter,400044,KIPP Ascend Charter School,,,,,103,105,104,85,88,75,63,,,,, 623 
Charter,400177,KIPP Chicago Charter School - KIPP Ascend Primary,,,105,103,,,,,,,,,,,, 208 
Charter,400163,KIPP Chicago Charter School - KIPP Bloom,,,,,,,,102,85,70,,,,,, 257 
Charter,400146,KIPP Chicago Charter School - KIPP Create,,,,,,,,74,83,79,83,,,,, 319 
Charter,400045,Kwame Nkrumah Academy Charter School,,,30,42,29,46,36,41,43,20,24,,,,, 311 
Charter,400047,L.E.A.R.N. - Charles and Dorothy Campbell Campus,,,86,103,89,57,64,54,,,,,,,, 453 
Charter,400048,L.E.A.R.N. - Excel Campus,,,79,87,87,67,75,41,,,,,,,, 436 
Charter,400111,L.E.A.R.N. - Hunter Perkins Campus,,,58,30,56,85,87,92,44,43,,,,,, 495 
Charter,400165,L.E.A.R.N. - Middle School Campus,,,,,,,,,71,83,88,,,,, 242 
Charter,400046,L.E.A.R.N. - Romano Butler Campus,6,27,59,83,63,86,61,45,97,49,46,,,,, 622 
Charter,400107,L.E.A.R.N. - South Chicago Campus,,,63,68,77,76,68,50,40,29,26,,,,, 497 
Charter,400151,L.E.A.R.N. Charter School - 7th Campus,,,51,48,75,54,55,70,,,,,,,, 353 
Charter,400049,Legacy Charter School,,18,52,51,52,52,52,47,50,52,52,,,,, 478 
Charter,400119,Legal Prep Charter Academy,,,,,,,,,,,,84,68,48,90, 290 
Charter,400178,Moving Everest Charter School,,,101,74,,,,,,,,,,,, 175 
Charter,400050,Namaste Charter School,,,55,57,58,59,60,58,53,43,45,,,,, 488 
Charter,400157,Noble - Baker College Prep,,,,,,,,,,,,202,139,72,, 413 
Charter,400156,Noble - Butler College Prep,,,,,,,,,,,,224,142,84,, 450 
Charter,400097,Noble - Chicago Bulls College Prep,,,,,,,,,,,,372,300,254,204," 1,130 "
Charter,400118,Noble - DRW College Prep,,,,,,,,,,,,233,95,135,155, 618 
Charter,400052,Noble - Gary Comer College Prep,,,,,,,,,128,116,78,242,198,158,147," 1,067 "
Charter,400053,Noble - Golder College Prep,,,,,,,,,,,,187,179,159,139, 664 
Charter,400117,Noble - Hansberry College Prep,,,,,,,,,,,,272,182,167,148, 769 
Charter,400169,Noble - ITW David Speer Academy,,,,,,,,,,,,445,238,,, 683 
Charter,400106,Noble - John and Eunice Johnson College Prep,,,,,,,,,,,,332,194,169,165, 860 
Charter,400098,Noble - Muchin College Prep,,,,,,,,,,,,264,245,208,168, 885 
Charter,400051,Noble - Noble College Prep,,,,,,,,,,,,186,152,144,144, 626 
Charter,400054,Noble - Pritzker College Prep,,,,,,,,,,,,292,232,220,197, 941 
Charter,400055,Noble - Rauner College Prep,,,,,,,,,,,,201,147,144,125, 617 
Charter,400056,Noble - Rowe-Clark Math and Science Academy,,,,,,,,,,,,167,144,125,122, 558 
Charter,400170,Noble - The Noble Academy,,,,,,,,,,,,116,129,,, 245 
Charter,400057,Noble - UIC College Prep,,,,,,,,,,,,267,240,196,200, 903 
Charter,400058,North Lawndale College Prep - Christiana,,,,,,,,,,,,106,105,101,85, 397 
Charter,400059,North Lawndale College Prep - Collins,,,,,,,,,,,,131,102,96,80, 409 
Charter,400062,Perspectives - High School of Technology,,,,,,,,,,,,100,111,102,107, 420 
Charter,400061,Perspectives - Leadership Academy,,,,,,,,,30,58,79,119,93,81,86, 546 
Charter,400066,Perspectives - Math and Science Academy,,,,,,,,,,55,71,135,97,103,73, 534 
Charter,400064,Perspectives - Rodney D. Joslin,,,,,,,,,55,57,57,54,59,55,57, 394 
Charter,400069,Polaris Charter Academy,,,50,48,52,54,50,51,44,48,43,,,,, 440 
Charter,400071,Providence Englewood Charter School,,,68,72,72,60,58,43,37,38,45,,,,, 493 
Charter,400096,Rowe Elementary Charter School,,,105,112,111,111,112,113,104,24,24,,,,, 816 
Charter,400116,The Montessori School of Englewood Charter,18,42,42,42,40,43,32,20,,,,,,,, 279 
Charter,400112,UNO 51st and Homan Charter Elementary School,,,64,64,64,64,64,64,64,64,64,,,,, 576 
Charter,400120,UNO Charter - Near West Elementary,,,64,63,64,64,64,64,64,63,64,,,,, 574 
Charter,400081,UNO Charter School - Bartolomé de las Casas,,,32,31,32,32,32,32,32,32,32,,,,, 287 
Charter,400153,UNO Charter School - Brighton Park,,,62,64,65,65,64,64,64,66,52,,,,, 566 
Charter,400082,UNO Charter School - Carlos Fuentes,,,60,64,64,64,64,62,64,62,64,,,,, 568 
Charter,400114,UNO Charter School - Esmeralda Santiago,,,32,32,32,31,32,31,32,30,30,,,,, 282 
Charter,400085,UNO Charter School - Major Hector P. Garcia MD,,,,,,,,,,,,181,162,146,159, 648 
Charter,400083,UNO Charter School - Octavio Paz Campus,,,50,58,55,32,32,61,45,32,49,,,,, 414 
Charter,400089,UNO Charter School - Officer Donald J. Marquez,,,64,64,64,64,64,64,64,64,63,,,,, 575 
