Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
Charter,400151,Learn Charter 7 ES,0,0,32,63,46,57,69,0,0,0,0,0,0,0,0,267
Charter,400049,Legacy Charter Elementary School,2,38,52,52,52,52,48,50,51,52,47,0,0,0,0,496
Charter,400119,Legal Prep Charter Academy,0,0,0,0,0,0,0,0,0,0,0,103,57,91,0,251
Charter,400050,Namaste Charter Elementary School,0,0,58,60,60,59,58,55,46,48,41,0,0,0,0,485
Charter,400170,Noble Charter School - The Noble Academy Campus,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,194
Charter,400156,Noble Street Charter  Crimson HS,0,0,0,0,0,0,0,0,0,0,0,168,98,0,0,266
Charter,400097,Noble Street Charter - Chicago Bulls College,0,0,0,0,0,0,0,0,0,0,0,385,292,230,178,"1,085"
Charter,400052,Noble Street Charter - Gary Comer College Prep,0,0,0,0,0,0,0,0,118,91,84,220,192,178,139,"1,022"
Charter,400053,Noble Street Charter - Golder College Prep,0,0,0,0,0,0,0,0,0,0,0,192,173,147,133,645
Charter,400098,Noble Street Charter - Muchin College Prep,0,0,0,0,0,0,0,0,0,0,0,256,220,178,188,842
Charter,400051,Noble Street Charter - Noble Street College Prep,0,0,0,0,0,0,0,0,0,0,0,173,151,147,144,615
Charter,400054,Noble Street Charter - Pritzker College Prep,0,0,0,0,0,0,0,0,0,0,0,290,241,203,195,929
Charter,400055,Noble Street Charter - Rauner College Prep,0,0,0,0,0,0,0,0,0,0,0,167,159,150,143,619
Charter,400056,Noble Street Charter - Rowe-Clark Math & Sci Acad,0,0,0,0,0,0,0,0,0,0,0,189,160,142,133,624
Charter,400057,Noble Street Charter - UIC College Prep,0,0,0,0,0,0,0,0,0,0,0,281,211,203,192,887
Charter,400157,Noble Street Charter Orange HS,0,0,0,0,0,0,0,0,0,0,0,179,84,0,0,263
Charter,400118,Noble Street Charter School - Purple,0,0,0,0,0,0,0,0,0,0,0,160,145,158,0,463
Charter,400117,Noble Street Charter School - Silver,0,0,0,0,0,0,0,0,0,0,0,270,200,177,0,647
Charter,400106,Noble Street Charter School – Johnson HS,0,0,0,0,0,0,0,0,0,0,0,279,219,195,155,848
Charter,400169,Noble-ITW David Speer Academy Campus,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,286
Charter,400058,North Lawndale College Prep Charter - Christiana,0,0,0,0,0,0,0,0,0,0,0,113,112,93,93,411
