School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,400094,EPIC HS,Combined,396, , , ,29.3, , , , , , , , , , 
2016-2017,400097,NOBLE - BULLS HS,PSAT 9,324,838,402,437,43.5, , , , , , , , , , 
2016-2017,400097,NOBLE - BULLS HS,PSAT 10,279,912,447,465,51.3, , , , , , , , , , 
2016-2017,400097,NOBLE - BULLS HS,SAT,243,1036,514,522,58,16.9,43.6,32.5,7,39.5,18.1,35.4,40.7,5.8,46.5
2016-2017,400097,NOBLE - BULLS HS,Combined,846, , , ,50.2, , , , , , , , , , 
2016-2017,400098,NOBLE - MUCHIN HS,PSAT 9,273,875,428,447,52.4, , , , , , , , , , 
2016-2017,400098,NOBLE - MUCHIN HS,PSAT 10,227,956,481,476,66.5, , , , , , , , , , 
2016-2017,400098,NOBLE - MUCHIN HS,SAT,223,1010,510,499,53.8,14.8,45.7,36.3,3.1,39.5,24.2,41.7,33.2,0.9,34.1
2016-2017,400098,NOBLE - MUCHIN HS,Combined,723, , , ,57.3, , , , , , , , , , 
2016-2017,400102,URBAN PREP - WEST HS,PSAT 9,51,712,353,359,3.9, , , , , , , , , , 
2016-2017,400102,URBAN PREP - WEST HS,PSAT 10,54,794,403,391,13, , , , , , , , , , 
2016-2017,400102,URBAN PREP - WEST HS,SAT,62,838,433,405,9.7,48.4,43.5,8.1,0,8.1,72.6,25.8,1.6,0,1.6
2016-2017,400102,URBAN PREP - WEST HS,Combined,167, , , ,9, , , , , , , , , , 
2016-2017,400104,INSTITUTO - HEALTH,PSAT 9,179,776,378,397,21.8, , , , , , , , , , 
2016-2017,400104,INSTITUTO - HEALTH,PSAT 10,177,804,398,406,14.7, , , , , , , , , , 
2016-2017,400104,INSTITUTO - HEALTH,SAT,161,883,442,441,17.4,44.1,50.9,5,0,5,51.6,38.5,9.9,0,9.9
2016-2017,400104,INSTITUTO - HEALTH,Combined,517, , , ,18, , , , , , , , , , 
2016-2017,400105,URBAN PREP - BRONZEVILLE HS,PSAT 9,82,764,381,383,15.9, , , , , , , , , , 
2016-2017,400105,URBAN PREP - BRONZEVILLE HS,PSAT 10,66,787,395,391,6.1, , , , , , , , , , 
2016-2017,400105,URBAN PREP - BRONZEVILLE HS,SAT,91,872,453,419,13.2,37.4,48.4,14.3,0,14.3,67,28.6,4.4,0,4.4
2016-2017,400105,URBAN PREP - BRONZEVILLE HS,Combined,239, , , ,12.1, , , , , , , , , , 
2016-2017,400106,NOBLE - JOHNSON HS,PSAT 9,215,779,384,395,25.6, , , , , , , , , , 
2016-2017,400106,NOBLE - JOHNSON HS,PSAT 10,224,841,422,419,25, , , , , , , , , , 
2016-2017,400106,NOBLE - JOHNSON HS,SAT,163,923,480,444,30.1,25.2,49.7,22.7,2.5,25.2,49.1,36.2,14.7,0,14.7
2016-2017,400106,NOBLE - JOHNSON HS,Combined,602, , , ,26.6, , , , , , , , , , 
2016-2017,400113,CICS - CHICAGOQUEST HS,PSAT 9,91,769,391,378,19.8, , , , , , , , , , 
2016-2017,400113,CICS - CHICAGOQUEST HS,PSAT 10,56,794,404,390,10.7, , , , , , , , , , 
2016-2017,400113,CICS - CHICAGOQUEST HS,SAT,51,866,452,413,11.8,33.3,58.8,3.9,3.9,7.8,80.4,15.7,3.9,0,3.9
2016-2017,400113,CICS - CHICAGOQUEST HS,Combined,198, , , ,15.2, , , , , , , , , , 
2016-2017,400115,CATALYST - MARIA,PSAT 9,141,789,384,406,24.8, , , , , , , , , , 
2016-2017,400115,CATALYST - MARIA,PSAT 10,151,828,415,412,17.9, , , , , , , , , , 
2016-2017,400115,CATALYST - MARIA,SAT,127,871,442,429,9.4,37.8,55.9,6.3,0,6.3,61.4,33.1,5.5,0,5.5
2016-2017,400115,CATALYST - MARIA,Combined,419, , , ,17.7, , , , , , , , , , 
2016-2017,400117,NOBLE - HANSBERRY HS,PSAT 9,165,780,389,389,28.5, , , , , , , , , , 
2016-2017,400117,NOBLE - HANSBERRY HS,PSAT 10,164,841,431,410,31.1, , , , , , , , , , 
2016-2017,400117,NOBLE - HANSBERRY HS,SAT,154,921,471,450,28.6,30.5,48.7,16.9,3.9,20.8,50.6,37.7,11.7,0,11.7
2016-2017,400117,NOBLE - HANSBERRY HS,Combined,483, , , ,29.4, , , , , , , , , , 
2016-2017,400118,NOBLE - DRW HS,PSAT 9,131,752,366,385,19.1, , , , , , , , , , 
2016-2017,400118,NOBLE - DRW HS,PSAT 10,154,851,424,426,26.6, , , , , , , , , , 
2016-2017,400118,NOBLE - DRW HS,SAT,69,910,465,445,23.2,30.4,53.6,14.5,1.4,15.9,47.8,40.6,10.1,1.4,11.6
2016-2017,400118,NOBLE - DRW HS,Combined,354, , , ,23.2, , , , , , , , , , 
2016-2017,400119,LEGAL PREP HS,PSAT 9,99,753,366,388,15.2, , , , , , , , , , 
2016-2017,400119,LEGAL PREP HS,PSAT 10,68,812,396,416,19.1, , , , , , , , , , 
2016-2017,400119,LEGAL PREP HS,SAT,58,838,428,410,5.2,48.3,50,1.7,0,1.7,69,29.3,1.7,0,1.7
2016-2017,400119,LEGAL PREP HS,Combined,225, , , ,13.8, , , , , , , , , , 
2016-2017,400121,ACERO - DE LA CRUZ,PSAT 9,27,819,406,414,37, , , , , , , , , , 
2016-2017,400121,ACERO - DE LA CRUZ,PSAT 10,51,808,388,417,13.7, , , , , , , , , , 
2016-2017,400121,ACERO - DE LA CRUZ,SAT,65,876,443,433,23.1,41.5,49.2,9.2,0,9.2,61.5,26.2,12.3,0,12.3
2016-2017,400121,ACERO - DE LA CRUZ,Combined,143, , , ,22.4, , , , , , , , , , 
2016-2017,400123,YCCS - SCHOLASTIC ACHIEVEMENT,SAT,14,741,381,360,0,92.9,7.1,0,0,0,100,0,0,0,0
2016-2017,400123,YCCS - SCHOLASTIC ACHIEVEMENT,Combined,14, , , ,0, , , , , , , , , , 
2016-2017,400124,YCCS - MCKINLEY,SAT,27,765,384,381,3.7,88.9,11.1,0,0,0,85.2,14.8,0,0,0
2016-2017,400124,YCCS - MCKINLEY,Combined,27, , , ,3.7, , , , , , , , , , 
2016-2017,400125,YCCS - ASPIRA PANTOJA,SAT,39,804,411,393,5.1,69.2,28.2,2.6,0,2.6,89.7,10.3,0,0,0
2016-2017,400125,YCCS - ASPIRA PANTOJA,Combined,39, , , ,5.1, , , , , , , , , , 
2016-2017,400126,YCCS - ASSOCIATION HOUSE,SAT,12,778,379,399,8.3,91.7,0,8.3,0,8.3,83.3,16.7,0,0,0
2016-2017,400126,YCCS - ASSOCIATION HOUSE,Combined,12, , , ,8.3, , , , , , , , , , 
2016-2017,400127,YCCS - AUSTIN CAREER,SAT,11,761,405,356,0,81.8,9.1,9.1,0,9.1,100,0,0,0,0
2016-2017,400127,YCCS - AUSTIN CAREER,Combined,11, , , ,0, , , , , , , , , , 
2016-2017,400128,YCCS - CCA ACADEMY,SAT,49,783,406,378,2,73.5,24.5,0,2,2,89.8,10.2,0,0,0
2016-2017,400128,YCCS - CCA ACADEMY,Combined,49, , , ,2, , , , , , , , , , 
2016-2017,400129,YCCS - PROGRESSIVE LEADERSHIP,SAT,16,740,368,372,0,87.5,12.5,0,0,0,93.8,6.3,0,0,0
2016-2017,400129,YCCS - PROGRESSIVE LEADERSHIP,Combined,16, , , ,0, , , , , , , , , , 
2016-2017,400130,YCCS - YOUTH DEVELOPMENT,SAT,28,784,395,389,0,75,25,0,0,0,89.3,7.1,3.6,0,3.6
2016-2017,400130,YCCS - YOUTH DEVELOPMENT,Combined,28, , , ,0, , , , , , , , , , 
