Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 9,610380,Daniel Hale Williams Prep School of Medicine, 237 ,,,,,,,,,,,,56,72,72,37
Network 9,609751,Dr  Martin Luther King  Jr  College Prep HS, 642 ,,,,,,,,,,,,156,170,163,153
Network 9,609819,Edmond Burke Elementary School, 435 ,21,49,43,36,53,40,51,32,44,33,33,,,,
Network 9,610246,Edward Beasley Elementary Magnet Academic Center," 1,353 ",66,93,123,125,121,142,145,148,141,132,117,,,,
Network 9,610065,Emmett Louis Till Math and Science Academy, 360 ,15,23,38,35,36,51,39,29,32,37,25,,,,
Network 9,609713,Hyde Park Academy High School, 745 ,,,,,,,,,,,,200,201,207,137
Network 9,610110,Ida B Wells Preparatory Elementary Academy, 392 ,25,31,37,38,37,40,38,49,40,26,31,,,,
Network 9,610276,Irvin C Mollison Elementary School, 381 ,9,22,33,37,42,47,37,43,35,32,44,,,,
Network 9,610256,Jackie Robinson Elementary School, 130 ,19,20,22,24,23,22,,,,,,,,,
Network 9,609891,James R Doolittle Jr Elementary School, 287 ,15,21,19,38,27,42,25,21,34,20,25,,,,
Network 9,610213,James Wadsworth Elementary School, 576 ,24,42,53,40,70,62,69,59,48,58,51,,,,
Network 9,609894,John B Drake Elementary School, 418 ,18,22,53,37,43,39,49,38,40,43,36,,,,
Network 9,609919,John Fiske Elementary School, 464 ,20,46,48,56,33,58,49,37,47,41,29,,,,
Network 9,610126,John J Pershing Elementary Humanities Magnet, 628 ,17,18,62,78,80,73,82,70,68,47,33,,,,
Network 9,609746,Kenwood Academy High School," 1,784 ",,,,,,,,,,134,131,403,372,351,393
Network 9,610237,Ludwig Van Beethoven Elementary School, 406 ,16,43,34,39,35,49,42,33,46,38,31,,,,
Network 9,609676,Paul Laurence Dunbar Career Academy High School, 561 ,,,,,,,,,,,,128,139,130,164
Network 9,610090,Phillip Murray Elementary Language Academy, 520 ,,,58,59,60,61,59,60,58,58,47,,,,
Network 9,609987,Thomas A Hendricks Elementary Community Academy, 225 ,7,17,26,14,28,31,20,23,25,20,14,,,,
Network 9,610587,Walter Henri Dyett High School for the Arts, 149 ,,,,,,,,,,,,149,,,
Network 9,610143,William C Reavis Math & Science Specialty ES, 239 ,14,29,21,23,15,29,25,24,19,22,18,,,,
Network 9,610142,William H Ray Elementary School, 718 ,39,59,67,69,74,80,71,77,63,52,67,,,,
Network 9,609977,Woodlawn Community Elementary School, 195 ,9,11,24,27,25,33,24,21,21,,,,,,
Network 10,610185,Adlai E Stevenson Elementary School," 1,273 ",33,60,107,130,133,111,137,150,126,150,136,,,,
Network 10,609788,Alice L Barnard Computer Math & Science Ctr ES, 321 ,13,24,26,35,30,32,33,30,38,35,25,,,,
Network 10,610287,Ashburn Community Elementary School, 507 ,11,29,55,51,39,69,57,43,45,55,53,,,,
Network 10,609871,Barbara Vick Early Childhood & Family Center, 336 ,112,224,,,,,,,,,,,,,
Network 10,610087,Blair Early Childhood Center, 154 ,26,54,35,39,,,,,,,,,,,
Network 10,609839,Carroll-Rosenwald Specialty Elementary School, 502 ,9,29,43,33,59,50,57,58,60,51,53,,,,
Network 10,609879,Charles Gates Dawes Elementary School," 1,045 ",19,55,106,110,104,124,113,109,77,115,113,,,,
Network 10,610347,Claremont Academy Elementary School, 434 ,10,22,41,43,49,55,49,44,38,43,40,,,,
Network 10,610077,Donald Morrill Math & Science Elementary School, 753 ,15,39,62,76,75,105,69,86,71,79,76,,,,
Network 10,610352,Durkin Park Elementary School, 712 ,24,46,68,69,78,71,79,74,65,67,71,,,,
Network 10,610006,Edward N Hurley Elementary School, 866 ,13,48,80,72,88,97,95,104,94,70,105,,,,
Network 10,610195,Elizabeth H Sutherland Elementary School, 616 ,,,57,68,62,85,80,72,69,57,66,,,,
Network 10,609908,Esmond Elementary School, 321 ,16,14,25,34,34,30,30,41,32,31,34,,,,
Network 10,610057,Fairfield Elementary Academy, 592 ,12,28,53,58,62,69,60,62,61,59,68,,,,
Network 10,610067,Francis M McKay Elementary School, 813 ,30,53,88,84,95,99,95,82,64,63,60,,,,
Network 10,609849,George F Cassell Elementary School, 410 ,,,39,53,51,50,52,36,48,41,40,,,,
Network 10,609741,Gurdon S Hubbard High School," 1,772 ",,,,,,,,,,,,433,509,450,380
Network 10,609861,Henry R Clissold Elementary School, 516 ,,,47,57,63,57,62,69,62,50,49,,,,
Network 10,609893,John C Dore Elementary School, 737 ,13,26,72,78,79,79,85,78,85,72,70,,,,
Network 10,609898,John F Eberhart Elementary School," 1,423 ",,,131,137,165,167,181,176,171,162,133,,,,
Network 10,609718,John F Kennedy High School," 1,658 ",,,,,,,,,,,,415,441,442,360
Network 10,610207,John H Vanderpoel Elementary Magnet School, 287 ,,,23,30,27,29,32,31,27,38,50,,,,
Network 10,610016,Kate S Kellogg Elementary School, 250 ,,,26,28,28,27,30,30,28,24,29,,,,
Network 10,609807,Lionel Hampton Fine & Performing Arts ES, 563 ,,,51,42,54,66,49,60,77,84,80,,,,
Network 10,610544,Mariano Azuela Elementary School, 948 ,12,21,85,78,99,125,100,109,114,103,102,,,,
Network 10,610206,Mark Twain Elementary School," 1,147 ",11,26,93,106,141,137,128,129,123,138,115,,,,
Network 10,609832,Michael M Byrne Elementary School, 654 ,,,53,72,75,68,75,66,93,78,74,,,,
Network 10,609725,Morgan Park High School," 1,420 ",,,,,,,,,,49,60,374,354,323,260
Network 10,609960,Nathan Hale Elementary School, 974 ,15,23,100,90,100,99,116,110,98,111,112,,,,
Network 10,609981,Phoebe Apperson Hearst Elementary School, 359 ,19,40,34,36,41,31,30,51,22,28,27,,,,
Network 10,609956,Robert L Grimes Elementary School, 467 ,21,17,38,39,50,49,65,51,50,42,45,,,,
Network 10,610558,Sarah E. Goode STEM Academy, 861 ,,,,,,,,,,,,250,229,194,188
Network 10,610109,William Bishop Owen Scholastic Academy ES, 263 ,,,28,29,29,30,30,29,30,30,28,,,,
Network 10,609698,William J Bogan High School, 798 ,,,,,,,,,,,,191,210,198,199
Network 11,609869,Anna R. Langford Community Academy, 316 ,14,22,32,36,36,42,27,24,24,33,26,,,,
Network 11,610037,Arthur A Libby Elementary School, 375 ,,,49,35,38,53,39,42,45,31,43,,,,
Network 11,609941,Asa Philip Randolph Elementary School, 505 ,12,28,47,59,44,71,48,41,64,38,53,,,,
Network 11,610290,Benjamin E Mays Elementary Academy, 423 ,13,24,39,49,40,56,50,42,39,34,37,,,,
Network 11,610238,Carrie Jacobs Bond Elementary School, 321 ,15,29,34,32,24,40,36,43,26,24,18,,,,
Network 11,610366,Charles H Wacker Elementary School, 289 ,25,16,43,23,38,29,25,31,28,17,14,,,,
Network 11,609986,Charles R Henderson Elementary School, 263 ,8,12,20,23,26,29,36,27,31,26,25,,,,
Network 11,609897,Charles W Earle Elementary School, 454 ,14,32,47,55,52,57,37,46,32,43,39,,,,
Network 11,609790,Clara Barton Elementary School, 434 ,13,28,25,41,42,45,56,42,45,36,61,,,,
Network 11,609748,Consuella B York Alternative HS, 270 ,,,,,,,,,,,,116,53,72,29
Network 11,610223,Daniel S Wentworth Elementary School, 508 ,13,30,49,50,48,73,51,43,49,56,46,,,,
Network 11,610299,Dr. Martin L. King Jr Academy of Social Justice, 235 ,9,24,24,27,17,35,23,24,20,17,15,,,,
Network 11,609924,Fort Dearborn Elementary School, 404 ,8,25,31,45,38,49,40,47,35,43,43,,,,
Network 11,609927,Foster Park Elementary School, 378 ,27,28,40,36,35,40,48,42,23,30,29,,,,
Network 11,610112,Francis W Parker Elementary Community Academy, 563 ,32,62,54,54,50,69,55,44,50,45,48,,,,
Network 11,609768,Hope College Preparatory High School, 136 ,,,,,,,,,,,,28,40,30,38
Network 11,610173,Jesse Sherwood Elementary School, 334 ,19,41,33,35,32,37,31,21,29,32,24,,,,
Network 11,609864,John W Cook Elementary School, 366 ,11,25,28,39,40,44,51,25,36,37,30,,,,
Network 11,610019,Joshua D Kershaw Elementary School, 278 ,10,29,32,26,25,30,24,27,29,21,25,,,,
Network 11,609793,Lillian R. Nicholson STEM Academy, 519 ,14,23,47,50,57,70,50,58,53,47,50,,,,
Network 11,610108,Luke O'Toole Elementary School, 401 ,18,21,35,32,36,48,48,39,42,39,43,,,,
Network 11,610369,Mahalia Jackson Elementary School, 320 ,6,30,28,36,38,46,32,25,22,28,29,,,,
Network 11,610362,Medgar Evers Elementary School, 316 ,15,25,15,27,31,28,39,38,36,29,33,,,,
Network 11,609783,Nancy B Jefferson Alternative HS, 259 ,,,,,,,,,2,2,5,126,67,26,31
Network 11,609692,Neal F Simeon Career Academy High School," 1,323 ",,,,,,,,,,,,349,304,341,329
Network 11,610300,Oliver S Westcott Elementary School, 422 ,8,39,46,45,43,57,46,34,34,30,40,,,,
Network 11,609997,Oliver Wendell Holmes Elementary School, 212 ,17,15,22,24,22,25,17,14,23,16,17,,,,
Network 11,610003,Paul Cuffe Math-Science Technology Academy ES, 358 ,12,25,33,29,31,39,37,48,27,39,38,,,,
Network 11,609707,Paul Robeson High School, 151 ,,,,,,,,,,,,23,42,50,36
Network 11,609791,Perkins Bass Elementary School, 449 ,19,25,42,54,50,48,62,39,43,39,28,,,,
Network 11,610102,Richard J Oglesby Elementary School, 466 ,7,28,41,53,54,56,54,36,53,40,44,,,,
Network 11,609929,Robert Fulton Elementary School, 378 ,21,25,35,39,44,41,46,37,34,28,28,,,,
Network 11,610391,Robert Lindblom Math & Science Academy HS," 1,294 ",,,,,,,,,,115,121,281,308,253,216
Network 11,610027,Rudyard Kipling Elementary School, 310 ,,,19,29,30,43,48,40,34,35,32,,,,
Network 11,609805,Scott Joplin Elementary School, 407 ,10,24,35,44,44,45,29,50,44,38,44,,,,
Network 11,610521,Sir Miles Davis Magnet Elementary Academy, 261 ,,,20,27,27,38,36,33,35,20,25,,,,
Network 11,609745,Southside Occupational Academy High School, 270 ,,,,,,,,,,,,,,8,262
Network 11,610506,TEAM Englewood Community Academy High School, 160 ,,,,,,,,,,,,15,34,57,54
Network 11,609895,Turner-Drew Elementary Language Academy, 263 ,,,34,29,28,24,28,29,36,33,22,,,,
Network 11,610032,Wendell E Green Elementary School, 379 ,11,28,32,44,41,44,32,34,36,36,41,,,,
Network 11,610153,William H Ryder Math & Science Specialty ES, 395 ,20,32,31,27,32,50,43,43,49,42,26,,,,
Network 11,609711,William Rainey Harper High School, 167 ,,,,,,,,,,,,36,55,38,38
Network 12,610281,Adam Clayton Powell Paideia Community Academy ES, 565 ,,,60,63,66,66,60,79,62,55,54,,,,
Network 12,610316,Amelia Earhart Options for Knowledge ES, 250 ,,,25,23,30,30,21,33,39,24,25,,,,
Network 12,610171,Arnold Mireles Elementary Academy, 572 ,11,23,57,56,65,69,52,66,61,54,58,,,,
Network 12,609887,Arthur Dixon Elementary School, 584 ,20,22,26,42,54,47,62,59,58,95,99,,,,
Network 12,610268,Arthur R Ashe Elementary School, 279 ,,,32,23,33,42,30,27,32,21,39,,,,
Network 12,609786,Avalon Park Elementary School, 298 ,3,13,37,35,33,41,41,19,28,31,17,,,,
Network 12,610323,Bowen High School, 328 ,,,,,,,,,,,,64,103,79,82
Network 12,609827,Burnside Elementary Scholastic Academy, 513 ,10,24,52,45,51,54,62,52,57,49,57,,,,
Network 12,609833,Charles P Caldwell Academy of Math & Science ES, 274 ,14,22,23,32,24,23,28,18,24,35,31,,,,
Network 12,609813,Charles S Brownell Elementary School, 211 ,13,19,30,26,28,31,30,22,12,,,,,,
Network 12,609674,Chicago Vocational Career Academy High School, 923 ,,,,,,,,,,,,225,323,229,146
Network 12,609815,Edward A Bouchet Math & Science Academy ES, 603 ,14,38,63,54,61,85,60,69,59,48,52,,,,
Network 12,609862,Edward Coles Elementary Language Academy, 473 ,13,37,32,45,53,51,42,56,44,49,51,,,,
Network 12,609712,Emil G Hirsch Metropolitan High School, 151 ,,,,,,,,,,,,29,43,43,36
Network 12,609939,Frank L Gillespie Elementary School, 554 ,8,37,48,69,63,62,73,45,47,47,55,,,,
Network 12,610124,Harold Washington Elementary School, 371 ,14,21,37,35,38,44,39,32,33,37,41,,,,
Network 12,610279,Henry O Tanner Elementary School, 346 ,6,25,26,44,26,33,46,38,23,39,40,,,,
Network 12,610052,Horace Mann Elementary School, 390 ,11,25,35,44,45,36,37,39,33,45,40,,,,
Network 12,610066,James E McDade Elementary Classical School, 196 ,,,27,29,29,27,29,27,28,,,,,,
Network 12,610047,James Madison Elementary School, 230 ,8,11,17,19,35,22,23,22,21,25,27,,,,
Network 12,610200,James N Thorp Elementary School, 336 ,10,26,34,44,32,34,28,25,39,30,34,,,,
Network 12,610093,Jane A Neil Elementary School, 285 ,7,8,20,33,25,35,36,42,22,24,33,,,,
Network 12,609710,John M Harlan Community Academy High School, 484 ,,,,,,,,,,,,94,120,114,156
Network 12,610130,John T Pirie Fine Arts & Academic Center ES, 287 ,7,21,30,32,33,49,41,34,40,,,,,,
Network 12,610218,Joseph Warren Elementary School, 280 ,9,20,30,28,24,26,19,23,30,27,44,,,,
Network 12,610152,Martha Ruggles Elementary School, 405 ,16,23,39,42,41,46,50,43,35,42,28,,,,
Network 12,609961,Ninos Heroes Elementary Academic Center, 373 ,7,28,28,37,46,42,34,40,38,43,30,,,,
Network 12,610115,Park Manor Elementary School, 330 ,2,16,19,27,39,55,34,35,32,34,37,,,,
Network 12,610116,Parkside Elementary Community Academy, 251 ,21,17,31,22,30,28,21,17,22,18,24,,,,
Network 12,610146,Paul Revere Elementary School, 225 ,10,13,31,15,22,20,24,25,23,22,20,,,,
Network 12,610350,Robert A Black Magnet Elementary School, 444 ,,,30,46,52,53,56,55,53,51,48,,,,
Network 12,610530,South Shore Fine Arts Academy, 453 ,16,39,34,56,48,48,55,50,45,38,24,,,,
Network 12,610547,South Shore Intl College Prep High School, 591 ,,,,,,,,,,,,179,149,128,135
Network 12,610178,Theophilus Schmid Elementary School, 215 ,9,22,20,18,16,21,28,29,17,18,17,,,,
Network 12,610002,Thomas Hoyne Elementary School, 250 ,,,21,35,33,31,23,27,24,27,29,,,,
Network 12,610193,William K New Sullivan Elementary School, 458 ,7,20,39,46,56,63,52,58,34,44,39,,,,
Network 13,609808,Alex Haley Elementary Academy, 577 ,20,22,54,41,73,73,60,63,54,58,59,,,,
Network 13,609705,Christian Fenger Academy High School, 230 ,,,,,,,,,,,,53,63,61,53
Network 13,610004,Countee Cullen Elementary School, 172 ,,,20,14,18,19,25,20,19,20,17,,,,
Network 13,610198,Douglas Taylor Elementary School, 498 ,20,22,47,46,56,55,50,54,43,54,51,,,,
Network 13,610188,Dunne Technology Academy, 255 ,21,15,19,31,19,31,22,29,23,23,22,,,,
Network 13,610132,Edgar Allan Poe Elementary Classical School, 214 ,,,28,31,30,32,32,32,29,,,,,,
Network 13,610315,Edward White Elementary Career Academy, 180 ,5,15,21,17,15,18,18,25,20,10,16,,,,
Network 13,609917,Fernwood Elementary School, 304 ,10,28,29,38,34,29,40,23,24,21,28,,,,
Network 13,609800,Frank I Bennett Elementary School, 329 ,8,21,32,28,32,37,36,26,29,32,48,,,,
Network 13,609761,George H Corliss High School, 371 ,,,,,,,,,,,,66,110,107,88
Network 13,610139,George M Pullman Elementary School, 351 ,6,28,33,36,49,38,41,37,32,32,19,,,,
Network 13,609845,George Washington Carver Primary School, 464 ,26,39,60,43,39,66,40,41,42,40,28,,,,
Network 13,610219,George Washington Elementary School, 887 ,20,50,74,89,101,84,103,92,96,89,89,,,,
Network 13,609739,George Washington High School," 1,410 ",,,,,,,,,,,,350,367,329,364
Network 13,609726,Gwendolyn Brooks College Preparatory Academy HS, 916 ,,,,,,,,,,56,,235,232,190,203
Network 13,609856,Henry Clay Elementary School, 615 ,22,40,57,57,63,62,60,60,73,66,55,,,,
Network 13,609848,Ira F Aldridge Elementary School, 167 ,5,14,12,23,12,19,14,20,18,14,16,,,,
Network 13,609943,Jesse Owens Elementary Community Academy, 435 ,14,22,39,52,47,61,37,37,46,47,33,,,,
Network 13,610176,John D Shoop Math-Science Technical Academy ES, 475 ,14,25,39,46,45,56,56,51,64,33,46,,,,
Network 13,610054,John L Marsh Elementary School, 799 ,15,34,70,60,92,95,87,82,90,83,91,,,,
Network 13,610225,John Whistler Elementary School, 306 ,13,8,34,24,31,36,36,40,26,29,29,,,,
Network 13,610199,Johnnie Colemon Elementary Academy, 252 ,11,22,18,19,25,31,29,29,24,19,25,,,,
Network 13,610368,Langston Hughes Elementary School, 486 ,39,53,41,37,50,53,41,38,52,32,50,,,,
Network 13,610128,Marcus Moziah Garvey Elementary School, 241 ,15,20,27,20,32,27,21,22,21,19,17,,,,
Network 13,609935,Matthew Gallistel Elementary Language Academy, 884 ,19,49,73,60,80,79,96,82,75,137,134,,,,
Network 13,610208,Mildred I Lavizzo Elementary School, 354 ,11,9,24,31,39,45,43,44,40,36,32,,,,
Network 13,610086,Mount Vernon Elementary School, 260 ,5,14,22,22,20,35,31,28,33,23,27,,,,
Network 13,609811,Orville T Bright Elementary School, 295 ,6,21,35,33,31,25,33,26,24,30,31,,,,
Network 13,609762,Percy L Julian High School, 631 ,,,,,,,,,,,,128,161,137,205
Network 13,609902,Ralph H Metcalfe Elementary Community Academy, 417 ,17,21,41,40,51,46,33,39,46,41,42,,,,
Network 13,610091,Ronald Brown Elementary Community Academy, 353 ,8,32,26,35,35,47,34,39,27,33,37,,,,
Network 13,610586,Southeast Area Elementary School, 447 ,21,22,71,42,51,63,52,64,61,,,,,,
Network 13,610295,Thomas J Higgins Elementary Community Academy, 279 ,7,13,22,33,21,30,42,22,31,25,33,,,,
Network 13,609978,Wendell Smith Elementary School, 374 ,8,32,23,39,46,45,44,37,31,31,38,,,,
Network 13,610364,William E B Dubois Elementary School, 256 ,6,13,32,28,22,32,16,24,36,30,17,,,,
AUSL,610339,Amos Alonzo Stagg Elementary School, 440 ,14,19,36,43,36,53,63,52,46,41,37,,,,
AUSL,610106,Brian Piccolo Elementary Specialty School, 603 ,14,36,53,67,71,77,64,58,62,45,56,,,,
AUSL,609883,Charles S Deneen Elementary School, 562 ,19,30,46,68,71,56,61,61,50,52,48,,,,
AUSL,610248,Chicago Academy Elementary School, 601 ,34,37,56,56,56,60,58,60,60,62,62,,,,
AUSL,610340,Chicago Academy High School, 549 ,,,,,,,,,,,,147,148,141,113
AUSL,610499,Collins Academy High School, 295 ,,,,,,,,,,,,72,84,83,56
AUSL,609885,Dewey Elementary Academy of Fine Arts, 419 ,33,44,51,43,43,46,42,29,34,24,30,,,,
AUSL,610254,Dvorak Technology Academy, 438 ,38,42,41,40,35,47,38,40,41,33,43,,,,
AUSL,610543,Eric Solorio Academy High School," 1,142 ",,,,,,,,,,,,287,291,304,260
AUSL,609900,George W Curtis Elementary School, 578 ,13,18,62,57,68,72,70,64,45,53,56,,,,
AUSL,610103,Isabelle C O'Keeffe Elementary School, 647 ,15,34,51,66,73,88,75,62,62,62,59,,,,
AUSL,610274,James Weldon Johnson Elementary School, 467 ,23,38,40,49,41,61,48,44,52,39,32,,,,
AUSL,610263,John Foster Dulles Elementary School, 631 ,15,34,69,74,71,94,76,54,35,56,53,,,,
AUSL,609971,John Harvard Elementary School of Excellence, 427 ,7,26,38,51,37,70,40,45,39,38,36,,,,
AUSL,610000,Julia Ward Howe Elementary School of Excellence, 498 ,16,23,44,57,38,65,55,55,56,51,38,,,,
AUSL,610036,Leslie Lewis Elementary School, 473 ,15,21,45,48,46,61,55,35,63,47,37,,,,
AUSL,610053,Marquette Elementary School," 1,160 ",24,61,87,110,123,150,122,117,132,120,114,,,,
AUSL,609928,Melville W Fuller Elementary School, 366 ,5,14,34,33,39,34,43,42,42,39,41,,,,
AUSL,610257,Morton School of Excellence, 391 ,9,31,24,41,34,43,43,50,32,40,44,,,,
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES, 624 ,9,19,49,77,65,109,61,63,57,58,57,,,,
AUSL,610231,National Teachers Elementary Academy, 706 ,2,17,86,91,91,95,87,56,66,56,59,,,,
AUSL,610389,Orr Academy High School, 386 ,,,,,,,,,,,,71,94,104,117
AUSL,610021,Pablo Casals Elementary School, 456 ,14,21,42,46,55,54,49,44,48,44,39,,,,
AUSL,610282,Ronald E McNair Elementary School, 399 ,6,11,37,54,47,44,47,46,38,32,37,,,,
AUSL,610396,Tarkington School of Excellence ES," 1,002 ",5,35,76,108,100,119,107,110,102,119,121,,,,
AUSL,609991,Theodore Herzl Elementary School, 657 ,49,88,53,64,66,70,52,47,64,54,50,,,,
AUSL,609851,Thomas Chalmers Specialty Elementary School, 372 ,11,30,33,30,48,47,41,36,28,24,44,,,,
AUSL,609955,Walter Q Gresham Elementary School, 339 ,9,20,31,41,32,36,33,41,33,31,32,,,,
AUSL,609727,Wendell Phillips Academy High School, 558 ,,,,,,,,,,,,173,131,151,103
AUSL,610172,William T Sherman Elementary School, 290 ,13,15,27,34,24,39,18,34,31,22,33,,,,
AUSL,609844,William W Carter Elementary School, 406 ,14,23,32,45,51,54,41,41,40,30,35,,,,
Service Leadership Academies,610513,Air Force Academy High School, 335 ,,,,,,,,,,,,103,94,93,45
Service Leadership Academies,609754,Chicago Military Academy High School, 293 ,,,,,,,,,,,,101,48,84,60
Service Leadership Academies,609760,George Washington Carver Military Academy HS, 500 ,,,,,,,,,,,,150,121,120,109
Service Leadership Academies,610390,Hyman G Rickover Naval Academy High School, 567 ,,,,,,,,,,,,153,131,180,103
Service Leadership Academies,609780,Marine Leadership Academy at Ames, 841 ,,,,,,,,,,148,135,178,194,109,77
Service Leadership Academies,610304,Phoenix Military Academy High School, 540 ,,,,,,,,,,,,157,146,123,114
ISP,609963,Alexander Hamilton Elementary School, 477 ,6,14,60,55,62,39,60,61,58,26,36,,,,
ISP,610098,Alfred Nobel Elementary School, 882 ,15,42,90,90,90,94,95,90,97,75,104,,,,
ISP,609837,Andrew Carnegie Elementary School, 655 ,14,20,78,75,84,73,66,82,72,53,38,,,,
ISP,610084,Annie Keller Elementary Gifted Magnet School, 241 ,,,,28,28,33,28,31,31,31,30,1,,,
ISP,609951,Ariel Elementary Community Academy, 506 ,7,18,44,55,52,52,52,60,51,57,58,,,,
ISP,609820,Augustus H Burley Elementary School, 532 ,8,12,63,64,53,59,57,55,57,53,51,,,,
ISP,609764,Benito Juarez Community Academy High School," 1,607 ",,,,,,,,,,,,430,478,385,314
ISP,610076,Bernhard Moos Elementary School, 520 ,22,18,50,61,47,54,66,61,45,47,49,,,,
ISP,609821,Burnham Elementary Inclusive Academy, 528 ,20,19,50,60,52,65,42,54,59,59,48,,,,
ISP,610148,Cesar E Chavez Multicultural Academic Center ES, 997 ,27,49,101,101,121,117,114,97,79,95,96,,,,
ISP,609753,Chicago High School for Agricultural Sciences, 720 ,,,,,,,,,,,,177,179,185,179
ISP,609899,Christian Ebinger Elementary School, 800 ,,,106,95,97,95,100,77,82,78,70,,,,
ISP,610533,Dr Jorge Prieto Math and Science," 1,010 ",8,33,72,100,88,108,121,132,115,115,118,,,,
ISP,609901,Edgebrook Elementary School, 515 ,,,56,56,59,57,57,56,57,56,61,,,,
ISP,610073,Ellen Mitchell Elementary School, 398 ,15,23,27,30,53,52,55,56,30,28,29,,,,
ISP,609973,Emiliano Zapata Elementary Academy, 835 ,25,49,73,69,80,97,84,83,101,86,88,,,,
ISP,610203,Enrico Tonti Elementary School," 1,074 ",41,90,162,142,164,147,165,163,,,,,,,
ISP,610120,Ferdinand Peck Elementary School," 1,656 ",76,151,135,145,170,152,179,169,167,160,152,,,,
ISP,610096,Florence Nightingale Elementary School," 1,280 ",41,101,104,134,131,146,129,131,119,119,125,,,,
ISP,609958,Frank W Gunsaulus Elementary Scholastic Academy, 798 ,27,65,71,75,81,82,76,86,83,81,71,,,,
ISP,609974,Hawthorne Elementary Scholastic Academy, 575 ,,,64,64,64,64,64,64,64,64,63,,,,
ISP,610040,Henry D Lloyd Elementary School," 1,155 ",49,106,151,187,163,171,183,145,,,,,,,
ISP,609772,Jane Addams Elementary School, 778 ,27,48,58,67,72,85,75,71,77,96,102,,,,
ISP,610026,John H Kinzie Elementary School, 682 ,15,37,56,63,62,81,68,64,79,73,84,,,,
ISP,610520,LaSalle II Magnet Elementary School, 595 ,29,45,57,59,58,60,62,62,57,54,52,,,,
ISP,610298,Lenart Elementary Regional Gifted Center, 288 ,16,19,28,28,28,29,30,30,30,26,24,,,,
ISP,609738,Lincoln Park High School," 2,129 ",,,,,,,,,,,,550,458,586,535
ISP,609773,Louis A Agassiz Elementary School, 506 ,17,16,44,50,60,51,48,59,63,46,52,,,,
ISP,610197,Mancel Talcott Elementary School, 520 ,8,38,42,56,48,55,57,52,54,53,57,,,,
ISP,610177,Mark Skinner Elementary School," 1,062 ",,13,122,131,130,152,131,132,109,72,70,,,,
ISP,610312,Mary E McDowell Elementary School, 171 ,6,9,18,32,31,23,31,21,,,,,,,
ISP,610082,Mount Greenwood Elementary School," 1,107 ",,,139,123,146,129,129,105,118,102,116,,,,
ISP,610386,Peace & Education Coalition HS, 113 ,,,,,,,,,,,,,41,32,40
ISP,609842,Rachel Carson Elementary School," 1,086 ",25,71,79,112,117,128,125,103,117,110,99,,,,
ISP,609903,Richard Edwards Elementary School," 1,545 ",54,125,122,154,137,167,154,158,175,152,147,,,,
ISP,610291,Richard Henry Lee Elementary School, 849 ,10,28,97,70,85,94,90,97,100,86,92,,,,
ISP,609759,Roberto Clemente Community Academy High School, 737 ,,,,,,,,,,,,192,224,214,107
ISP,610534,Skinner North, 488 ,,,59,60,61,60,64,64,62,30,28,,,,
ISP,609990,South Loop Elementary School, 779 ,,,91,85,94,73,72,106,86,76,96,,,,
ISP,610249,Talman Elementary School, 445 ,23,59,35,40,40,39,48,43,42,36,40,,,,
ISP,609944,Virgil Grissom Elementary School, 368 ,8,24,37,28,34,39,38,41,41,37,41,,,,
ISP,610363,Walt Disney Magnet Elementary School," 1,564 ",24,39,192,198,192,174,175,168,143,131,128,,,,
ISP,609680,Walter Payton College Preparatory High School, 979 ,,,,,,,,,,,,298,227,225,229
ISP,610179,Washington D Smyser Elementary School, 991 ,11,29,110,86,100,105,109,107,94,126,114,,,,
ISP,609740,Wells Community Academy High School, 378 ,,,,,,,,,,,,92,58,107,121
ISP,609755,Whitney M Young Magnet High School," 2,112 ",,,,,,,,,,129,126,477,443,441,496
ISP,609678,William Jones College Preparatory High School," 1,819 ",,,,,,,,,,,,425,439,489,466
Charter,400009,Academy for Global Citizenship Charter School, 461 ,,,50,52,52,53,52,53,50,50,49,,,,
Charter,400010,ACE Technical Charter School, 385 ,,,,,,,,,,,,103,93,93,96
Charter,400011,Alain Locke Charter School, 550 ,27,40,60,61,56,59,50,49,59,46,43,,,,
Charter,400060,Asian Human Services - Passages Charter School, 482 ,14,26,56,49,42,53,54,47,45,55,41,,,,
Charter,400172,ASPIRA Business and Finance, 335 ,,,,,,,,,,,,173,162,,
Charter,400013,ASPIRA Charter School - Early College High School, 422 ,,,,,,,,,,,,122,95,96,109
Charter,400017,ASPIRA Charter School - Haugan Middle School, 537 ,,,,,,,,,135,190,212,,,,
Charter,400115,Catalyst - Maria Charter School," 1,107 ",,,63,60,60,60,60,61,65,59,60,155,149,125,130
Charter,400021,Catalyst Elementary Charter School - Circle Rock, 522 ,,,60,61,60,61,60,56,58,54,52,,,,
Charter,400161,Chicago Collegiate Charter School, 315 ,,,,,,,51,69,62,70,63,,,,
Charter,400035,Chicago Math and Science Academy Charter School, 600 ,,,,,,,,,80,88,87,86,82,87,90
Charter,400036,Chicago Virtual Charter School, 676 ,,,36,36,52,51,58,63,71,73,65,53,41,46,31
Charter,400159,Christopher House Charter School, 277 ,,,60,53,64,52,48,,,,,,,,
Charter,400023,CICS - Avalon/South Shore, 501 ,,,66,78,56,61,67,61,60,28,24,,,,
