Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 2,610070,James B McPherson Elementary School, 737 ,33,28,67,79,73,62,81,65,88,78,83,,,,
Network 2,609866,John C Coonley Elementary School, 948 ,,,125,120,114,111,112,98,95,84,89,,,,
Network 2,610269,John T McCutcheon Elementary School, 421 ,11,55,33,46,37,36,40,43,39,32,49,,,,
Network 2,609865,Jordan Elementary Community School, 508 ,15,32,35,49,56,59,67,49,62,48,36,,,,
Network 2,610242,Joseph Brennemann Elementary School, 398 ,14,24,33,39,45,48,42,38,33,47,35,,,,
Network 2,610022,Joyce Kilmer Elementary School, 793 ,26,49,79,77,92,82,84,93,71,69,71,,,,
Network 2,609719,Lake View High School," 1,298 ",,,,,,,,,,,,350,314,345,289
Network 2,609817,Lyman A Budlong Elementary School, 790 ,54,84,79,82,85,67,76,61,62,81,59,,,,
Network 2,610355,Mary E Courtenay Elementary Language Arts Center, 456 ,28,36,32,36,49,61,50,61,34,35,34,,,,
Network 2,610011,Minnie Mars Jamieson Elementary School, 875 ,14,30,83,95,98,99,90,89,94,99,84,,,,
Network 2,610284,New Field Elementary School, 683 ,56,94,120,116,119,93,85,,,,,,,,
Network 2,609730,Nicholas Senn High School," 1,415 ",,,,,,,,,,,,391,357,352,315
Network 2,610147,Philip Rogers Elementary School, 783 ,19,59,74,79,77,86,85,78,86,71,69,,,,
Network 2,610141,Ravenswood Elementary School, 549 ,17,34,54,66,66,62,52,50,52,57,39,,,,
Network 2,609695,Roald Amundsen High School," 1,172 ",,,,,,,,,,,,324,332,282,234
Network 2,609733,Roger C Sullivan High School, 626 ,,,,,,,,,,,,186,185,131,124
Network 2,609880,Stephen Decatur Classical Elementary School, 292 ,,,29,58,29,61,57,30,28,,,,,,
Network 2,609933,Stephen F Gale Elementary Community Academy, 363 ,17,23,52,38,37,47,37,37,20,24,31,,,,
Network 2,609976,Stephen K Hayt Elementary School," 1,049 ",36,77,89,119,117,133,95,85,107,80,111,,,,
Network 2,609724,Stephen T Mather High School," 1,502 ",,,,,,,,,,,,405,398,371,328
Network 2,610191,Stone Elementary Scholastic Academy, 626 ,,,89,64,63,63,65,63,66,93,60,,,,
Network 2,610220,Thomas J Waters Elementary School, 634 ,,,66,92,60,86,79,75,64,43,69,,,,
Network 2,610394,Uplift Community High School, 301 ,,,,,,,,,,,,82,71,70,78
Network 2,610542,West Ridge Elementary School, 796 ,5,34,78,100,83,83,86,85,103,73,66,,,,
Network 2,609945,William C. Goudy Technology Academy, 727 ,26,38,62,59,83,71,77,74,86,68,83,,,,
Network 3,609922,Belmont-Cragin Elementary School, 575 ,101,178,35,44,28,33,29,31,32,35,29,,,,
Network 3,609679,Charles Allen Prosser Career Academy High School," 1,377 ",,,,,,,,,,,,360,356,328,333
Network 3,609732,Charles P Steinmetz College Preparatory HS," 1,374 ",,,,,,,,,,,,335,353,364,322
Network 3,609904,Edward K Ellington Elementary School, 638 ,36,56,66,59,55,62,68,56,68,55,57,,,,
Network 3,609708,Edwin G. Foreman College and Career Academy, 894 ,,,,,,,,,,,,199,239,236,220
Network 3,610235,Ella Flagg Young Elementary School, 876 ,12,32,73,67,95,122,105,77,93,88,112,,,,
Network 3,610165,Franz Peter Schubert Elementary School, 855 ,34,94,118,124,121,116,129,119,,,,,,,
Network 3,610245,Frederick A Douglass Academy High School, 175 ,,,,,,,,,,,,24,41,59,51
Network 3,610305,George Leland Elementary School, 479 ,14,29,45,48,49,60,49,42,47,57,39,,,,
Network 3,609795,George Rogers Clark Elementary School, 250 ,9,17,26,28,23,30,24,23,23,25,22,,,,
Network 3,610068,Hanson Park Elementary School," 1,541 ",62,121,138,143,145,169,162,170,153,135,143,,,,
Network 3,610158,Harriet E Sayre Elementary Language Academy, 459 ,11,29,46,38,44,43,54,56,50,46,42,,,,
Network 3,610092,Henry H Nash Elementary School, 336 ,15,17,31,31,42,42,44,23,26,32,33,,,,
