School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
610220,Thomas J Waters Elementary School,641,0,0,74,75,61,87,57,77,77,70,63,0,0,0,0
609904,Edward K Ellington Elementary School,483,33,48,41,40,42,50,43,51,44,37,54,0,0,0,0
610235,Ella Flagg Young Elementary School,724,5,29,69,75,68,62,89,87,92,70,78,0,0,0,0
610165,Franz Peter Schubert Elementary School,665,5,66,91,96,88,108,105,106,0,0,0,0,0,0,0
610305,George Leland Elementary School,386,15,29,33,26,40,47,38,42,41,35,40,0,0,0,0
610068,Hanson Park Elementary School,1471,57,98,144,128,137,147,143,158,157,159,143,0,0,0,0
610158,Harriet E Sayre Elementary Language Academy,439,2,37,36,51,43,46,43,44,51,40,46,0,0,0,0
610092,Henry H Nash Elementary School,242,9,26,24,16,23,27,23,23,34,16,21,0,0,0,0
609975,John Hay Elementary Community Academy,360,0,59,30,33,38,41,33,37,40,23,26,0,0,0,0
610043,Joseph Lovett Elementary School,342,7,29,38,30,38,22,41,37,37,33,30,0,0,0,0
610041,Josephine C Locke Elementary School,1240,40,77,110,106,135,139,122,127,130,136,118,0,0,0,0
609910,Laughlin Falconer Elementary School,1107,3,55,154,143,138,146,158,149,161,0,0,0,0,0,0
609818,Luther Burbank Elementary School,887,10,45,83,65,87,89,109,98,112,94,95,0,0,0,0
610539,Marvin Camras Elementary School,946,44,83,83,68,81,94,97,102,105,101,88,0,0,0,0
610046,Mary Lyon Elementary School,1347,0,0,110,120,130,144,153,165,160,205,160,0,0,0,0
609830,Milton Brunson Math & Science Specialty ES,481,16,35,43,46,32,59,49,58,57,35,51,0,0,0,0
610051,Northwest Middle School,541,0,0,0,0,0,0,0,0,206,155,180,0,0,0,0
610367,Oscar DePriest Elementary School,558,18,34,47,62,56,55,59,58,67,58,44,0,0,0,0
610183,Spencer Technology Academy,494,3,49,39,34,45,66,54,51,54,48,51,0,0,0,0
609799,Alexander Graham Bell Elementary School,1003,3,4,110,111,113,102,107,128,124,100,101,0,0,0,0
609963,Alexander Hamilton Elementary School,509,8,12,62,54,55,53,59,38,56,54,58,0,0,0,0
610144,Frank W Reilly Elementary School,852,15,58,73,71,88,66,97,87,103,97,97,0,0,0,0
609930,Frederick Funston Elementary School,464,20,44,47,47,45,46,42,42,44,39,48,0,0,0,0
610010,Friedrich L. Jahn Elementary of the Fine Arts,318,21,37,48,20,27,24,29,25,32,25,30,0,0,0,0
610048,George Manierre Elementary School,357,24,29,51,37,37,38,28,32,34,23,24,0,0,0,0
609974,Hawthorne Elementary Scholastic Academy,566,0,0,59,62,61,64,64,64,64,64,64,0,0,0,0
609850,Horace Greeley Elementary School,547,7,27,51,52,47,46,66,70,61,55,65,0,0,0,0
610078,Inter-American Elementary Magnet School,695,0,56,82,85,98,69,63,70,61,60,51,0,0,0,0
609803,James G Blaine Elementary School,823,3,52,90,92,101,73,97,84,80,71,80,0,0,0,0
610074,James Monroe Elementary School,765,24,51,74,54,65,82,83,83,89,76,84,0,0,0,0
609942,Johann W von Goethe Elementary School,749,46,58,81,65,62,86,69,61,85,60,76,0,0,0,0
609782,John J Audubon Elementary School,571,5,33,72,65,72,50,67,52,55,52,48,0,0,0,0
610033,LaSalle Elementary Language Academy,516,0,0,51,58,55,62,57,62,58,54,59,0,0,0,0
610325,Logandale Middle School,706,23,45,51,61,68,61,83,71,75,83,85,0,0,0,0
609809,Lorenz Brentano Math & Science Academy ES,565,31,36,95,77,68,52,42,51,34,37,42,0,0,0,0
610094,Louis Nettelhorst Elementary School,757,18,46,85,77,87,86,87,82,68,58,63,0,0,0,0
609774,Louisa May Alcott College Preparatory ES,649,17,22,73,73,88,72,80,56,57,55,56,0,0,0,0
610524,Louisa May Alcott College Preparatory HS,318,0,0,0,0,0,0,0,0,0,0,0,105,81,79,53
610059,Oscar F Mayer Elementary School,758,50,62,95,80,80,80,63,79,64,56,49,0,0,0,0
609853,Salmon P Chase Elementary School,407,26,41,32,38,37,36,34,36,41,42,44,0,0,0,0
609968,Sharon Christa McAuliffe Elementary School,680,15,33,56,69,68,78,59,61,91,73,77,0,0,0,0
610534,Skinner North,523,0,0,59,59,59,60,63,62,63,51,47,0,0,0,0
610095,Walter L Newberry Math & Science Academy ES,493,1,17,43,46,49,52,53,57,58,67,50,0,0,0,0
610136,William H Prescott Elementary School,450,0,0,56,56,51,55,52,62,58,26,34,0,0,0,0
610097,William P Nixon Elementary School,743,11,42,68,95,91,92,109,116,119,0,0,0,0,0,0
610088,Wolfgang A Mozart Elementary School,566,4,32,51,38,46,61,57,62,81,68,66,0,0,0,0
610131,Ambrose Plamondon Elementary School,134,0,0,10,12,15,24,14,15,19,14,11,0,0,0,0
610005,Charles Evans Hughes Elementary School,265,16,18,33,24,27,22,31,28,22,27,17,0,0,0,0
610194,Charles Sumner  Math & Science Community Acad ES,282,14,26,20,23,28,32,29,33,24,23,30,0,0,0,0
609873,Crown Community Academy of Fine Arts Center ES,212,13,23,17,21,11,21,16,25,27,21,17,0,0,0,0
610221,Daniel Webster Elementary School,280,25,32,25,21,27,27,34,24,25,15,25,0,0,0,0
610073,Ellen Mitchell Elementary School,420,8,29,31,29,52,31,54,58,53,48,27,0,0,0,0
610503,Frazier Prospective IB Magnet ES,203,0,0,20,13,29,31,33,27,18,15,17,0,0,0,0
609854,Frederic Chopin Elementary School,391,11,28,25,40,39,38,44,47,45,44,30,0,0,0,0
610293,Genevieve Melody Elementary School,430,25,48,40,46,45,40,33,45,45,35,28,0,0,0,0
610202,George W Tilton Elementary School,308,16,22,28,24,35,47,32,26,27,21,30,0,0,0,0
610192,Harriet Beecher Stowe Elementary School,635,22,60,65,55,56,61,74,57,67,63,55,0,0,0,0
609797,Jacob Beidler Elementary School,397,21,51,28,32,33,50,37,36,34,34,41,0,0,0,0
610044,James Russell Lowell Elementary School,400,25,35,29,35,38,34,39,39,38,36,52,0,0,0,0
610271,Jensen Elementary Scholastic Academy,376,7,28,26,37,40,36,40,44,47,42,29,0,0,0,0
609954,John Milton Gregory Elementary School,341,13,29,31,28,23,46,31,31,38,42,29,0,0,0,0
610313,Jose De Diego Elementary Community Academy,588,28,61,53,51,64,49,59,58,54,59,52,0,0,0,0
609925,Joseph Kellman Corporate Community ES,304,15,36,23,18,26,30,30,35,29,31,31,0,0,0,0
610133,Laura S Ward Elementary School,388,16,33,32,35,31,50,42,42,39,34,34,0,0,0,0
610034,Lawndale Elementary Community Academy,231,18,30,19,21,18,16,24,19,31,15,20,0,0,0,0
609907,Leif Ericson Elementary Scholastic Academy,498,35,42,45,46,46,55,46,56,50,36,41,0,0,0,0
610055,Michael Faraday Elementary School,245,14,18,26,21,23,31,19,25,29,19,20,0,0,0,0
610234,Richard Yates Elementary School,375,4,22,29,33,33,38,46,53,53,27,37,0,0,0,0
610056,Roswell B Mason Elementary School,361,18,25,32,31,37,42,39,45,39,26,27,0,0,0,0
610100,West Park Elementary Academy,558,3,35,55,52,54,69,65,57,61,50,57,0,0,0,0
610251,Willa Cather Elementary School,369,12,19,30,43,28,45,29,44,47,37,35,0,0,0,0
610123,William Penn Elementary School,280,9,39,22,21,22,36,18,25,35,26,27,0,0,0,0
610229,A.N. Pritzker School,733,1,17,56,75,72,77,81,89,88,81,96,0,0,0,0
609947,Alexander Graham Elementary School,411,11,28,27,31,41,44,44,40,54,51,40,0,0,0,0
610060,Andrew Jackson Elementary Language Academy,530,0,0,58,59,64,64,64,65,64,44,48,0,0,0,0
610009,Galileo Math & Science Scholastic Academy ES,565,0,0,63,70,71,71,64,58,56,58,54,0,0,0,0
610107,James Otis Elementary School,405,14,23,33,39,36,47,32,37,47,44,53,0,0,0,0
609959,John Charles Haines Elementary School,682,1,19,61,57,71,74,90,73,77,78,81,0,0,0,0
610180,John M Smyth Elementary School,482,25,54,57,42,41,57,44,39,52,42,29,0,0,0,0
609828,Jonathan Burr Elementary School,476,16,37,58,53,52,58,50,53,40,33,26,0,0,0,0
609777,Phillip D Armour Elementary School,265,5,29,34,21,33,22,31,25,26,21,18,0,0,0,0
610138,Pulaski International School of Chicago,898,1,37,98,106,104,106,80,98,99,84,85,0,0,0,0
609979,Robert Healy Elementary School,1410,0,0,144,152,137,185,168,164,161,157,142,0,0,0,0
610252,Robert Nathaniel Dett Elementary School,310,18,24,18,35,29,28,40,27,37,32,22,0,0,0,0
610029,Rodolfo Lozano Bilingual & International Ctr ES,186,6,12,18,8,21,13,27,15,20,22,24,0,0,0,0
610405,Suder Montessori Magnet ES,379,31,35,33,35,39,51,37,30,40,20,28,0,0,0,0
609896,Thomas Drummond Elementary School,351,35,35,38,35,41,34,31,30,31,25,16,0,0,0,0
610121,Washington Irving Elementary School,385,15,19,23,34,32,45,40,45,46,41,45,0,0,0,0
609812,William H Brown Elementary School,226,1,14,19,12,23,31,18,20,33,27,28,0,0,0,0
