School ID,School Name,Network,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
610022,Joyce Kilmer Elementary School,Network 2,761,17,42,78,70,72,93,80,82,91,68,68,0,0,0,0
609719,Lake View High School,Network 2,1389,0,0,0,0,0,0,0,0,0,0,0,391,361,313,324
609817,Lyman A Budlong Elementary School,Network 2,767,48,75,66,81,76,85,66,71,59,59,81,0,0,0,0
610355,Mary E Courtenay Elementary Language Arts Center,Network 2,400,20,42,33,29,37,38,47,44,53,26,31,0,0,0,0
610011,Minnie Mars Jamieson Elementary School,Network 2,918,17,29,106,87,97,107,95,92,94,98,96,0,0,0,0
610284,New Field Elementary School,Network 2,699,57,89,135,119,104,110,85,0,0,0,0,0,0,0,0
609730,Nicholas Senn High School,Network 2,1443,0,0,0,0,0,0,0,0,0,0,0,414,392,313,324
610147,Philip Rogers Elementary School,Network 2,782,28,45,84,75,74,68,91,80,75,85,77,0,0,0,0
610141,Ravenswood Elementary School,Network 2,552,18,38,56,55,62,64,56,51,50,46,56,0,0,0,0
609733,Roger C Sullivan High School,Network 2,723,0,0,0,0,0,0,0,0,0,0,1,196,209,176,141
609880,Stephen Decatur Classical Elementary School,Network 2,282,0,0,27,29,56,29,58,58,25,0,0,0,0,0,0
609933,Stephen F Gale Elementary Community Academy,Network 2,308,11,19,34,37,31,37,45,26,26,22,20,0,0,0,0
609976,Stephen K Hayt Elementary School,Network 2,1002,47,59,94,90,111,113,118,95,85,106,84,0,0,0,0
609724,Stephen T Mather High School,Network 2,1442,0,0,0,0,0,0,0,0,0,0,0,326,373,392,351
610191,Stone Elementary Scholastic Academy,Network 2,629,0,0,61,92,62,62,65,65,66,66,90,0,0,0,0
610220,Thomas J Waters Elementary School,Network 2,627,0,0,73,66,88,61,79,80,71,61,48,0,0,0,0
610394,Uplift Community High School,Network 2,240,0,0,0,0,0,0,0,0,0,0,0,39,63,66,72
610542,West Ridge Elementary School,Network 2,830,10,29,102,80,103,90,84,84,80,98,70,0,0,0,0
609945,William C. Goudy Technology Academy,Network 2,708,21,39,78,67,57,82,68,76,71,81,68,0,0,0,0
610518,Austin College and Career Academy High School,Network 3,219,0,0,0,0,0,0,0,0,0,0,0,50,60,45,64
609922,Belmont-Cragin Elementary School,Network 3,570,98,166,42,37,42,27,33,34,32,29,30,0,0,0,0
609679,Charles Allen Prosser Career Academy High School,Network 3,1394,0,0,0,0,0,0,0,0,0,0,0,409,353,322,310
609732,Charles P Steinmetz College Preparatory HS,Network 3,1278,0,0,0,0,0,0,0,0,0,0,0,275,405,276,322
609904,Edward K Ellington Elementary School,Network 3,522,35,37,39,58,49,47,54,52,46,62,43,0,0,0,0
609708,Edwin G. Foreman College and Career Academy,Network 3,792,0,0,0,0,0,0,0,0,0,0,0,202,199,187,204
610235,Ella Flagg Young Elementary School,Network 3,805,5,35,74,84,64,106,101,99,75,81,81,0,0,0,0
610165,Franz Peter Schubert Elementary School,Network 3,755,40,80,100,100,109,108,116,102,0,0,0,0,0,0,0
610245,Frederick A Douglass Academy High School,Network 3,101,0,0,0,0,0,0,0,0,0,0,0,11,28,26,36
610305,George Leland Elementary School,Network 3,415,10,28,33,37,34,54,51,35,37,41,52,3,0,0,0
609795,George Rogers Clark Elementary School,Network 3,236,3,16,20,25,30,23,23,24,20,27,25,0,0,0,0
610068,Hanson Park Elementary School,Network 3,1483,36,134,124,129,136,150,166,149,172,148,139,0,0,0,0
610158,Harriet E Sayre Elementary Language Academy,Network 3,450,13,23,47,41,45,46,47,45,50,42,47,4,0,0,0
610092,Henry H Nash Elementary School,Network 3,275,8,21,19,29,29,36,35,30,17,22,29,0,0,0,0
609975,John Hay Elementary Community Academy,Network 3,383,23,39,37,36,43,35,37,41,30,31,31,0,0,0,0
610043,Joseph Lovett Elementary School,Network 3,376,0,35,39,36,29,49,43,41,34,36,34,0,0,0,0
610041,Josephine C Locke Elementary School,Network 3,1337,37,101,125,135,137,135,130,133,145,124,135,0,0,0,0
609910,Laughlin Falconer Elementary School,Network 3,1186,15,82,146,138,141,163,153,176,172,0,0,0,0,0,0
609818,Luther Burbank Elementary School,Network 3,904,14,46,66,87,94,101,100,106,90,95,105,0,0,0,0
610539,Marvin Camras Elementary School,Network 3,932,44,69,76,82,88,88,102,102,107,94,80,0,0,0,0
610046,Mary Lyon Elementary School,Network 3,1410,0,0,116,129,151,164,161,158,198,166,167,0,0,0,0
610244,Michele Clark Academic Prep Magnet High School,Network 3,547,0,0,0,0,0,0,0,0,0,0,0,155,148,129,115
609830,Milton Brunson Math & Science Specialty ES,Network 3,480,12,40,39,33,51,55,60,56,38,50,46,0,0,0,0
610051,Northwest Middle School,Network 3,486,0,0,0,0,0,0,0,0,151,162,173,0,0,0,0
610367,Oscar DePriest Elementary School,Network 3,544,10,31,60,47,59,63,59,57,54,39,65,0,0,0,0
610183,Spencer Technology Academy,Network 3,557,15,45,33,56,61,81,60,53,58,53,42,0,0,0,0
610038,Abraham Lincoln Elementary School,Network 4,895,0,0,95,97,101,96,99,100,101,116,90,0,0,0,0
609720,Albert G Lane Technical High School,Network 4,4438,0,0,0,0,0,0,0,0,0,121,127,1175,951,1102,962
609799,Alexander Graham Bell Elementary School,Network 4,957,2,3,77,101,101,109,135,125,113,97,94,0,0,0,0
609963,Alexander Hamilton Elementary School,Network 4,480,6,14,54,58,54,58,37,59,56,58,26,0,0,0,0
610144,Frank W Reilly Elementary School,Network 4,923,31,57,73,97,71,105,91,111,101,100,86,0,0,0,0
609930,Frederick Funston Elementary School,Network 4,464,21,46,50,45,47,46,46,44,46,45,28,0,0,0,0
610010,Friedrich L. Jahn Elementary of the Fine Arts,Network 4,311,15,33,25,37,28,31,27,35,24,31,25,0,0,0,0
610048,George Manierre Elementary School,Network 4,344,20,44,40,33,33,32,28,37,28,27,22,0,0,0,0
609974,Hawthorne Elementary Scholastic Academy,Network 4,567,0,0,60,62,62,64,64,64,63,64,64,0,0,0,0
609850,Horace Greeley Elementary School,Network 4,568,15,22,48,51,55,63,70,57,59,70,58,0,0,0,0
610078,Inter-American Elementary Magnet School,Network 4,710,0,76,90,95,73,68,70,68,63,55,52,0,0,0,0
609803,James G Blaine Elementary School,Network 4,888,52,54,97,101,85,101,83,85,80,82,68,0,0,0,0
610074,James Monroe Elementary School,Network 4,825,25,60,64,63,85,86,91,93,79,79,100,0,0,0,0
609942,Johann W von Goethe Elementary School,Network 4,765,40,61,74,65,86,72,67,85,62,77,76,0,0,0,0
609782,John J Audubon Elementary School,Network 4,574,10,42,64,76,51,69,52,58,54,50,48,0,0,0,0
609716,Kelvyn Park High School,Network 4,451,0,0,0,0,0,0,0,0,0,63,66,73,75,76,98
610033,LaSalle Elementary Language Academy,Network 4,561,0,0,62,62,62,64,66,61,63,59,62,0,0,0,0
610325,Logandale Middle School,Network 4,716,21,32,66,69,62,82,73,76,81,84,70,0,0,0,0
609809,Lorenz Brentano Math & Science Academy ES,Network 4,497,19,45,73,73,56,39,53,38,36,41,24,0,0,0,0
610094,Louis Nettelhorst Elementary School,Network 4,789,25,41,73,103,96,92,86,74,68,64,67,0,0,0,0
609774,Louisa May Alcott College Preparatory ES,Network 4,628,13,41,67,84,75,81,51,53,58,55,50,0,0,0,0
